"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Learners_Guess_time","Examples","Examples_times","Inside","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","4046","0.0-0.0","1532728084046","10-436","13-437","","","","","","","","","","","","","","","",""
"","survey-text","1","18405","0.0-1.0","1532728084046","10-436","13-437","14358","{""Q0"":""13-437"",""Q1"":""10-436""}","","","","","","","","","","","","","",""
"","waiting-room","2","121355","0.0-2.0","1532728084046","10-436","13-437","","","0","3cbd68f1-e24c-4558-86bf-9cbfd8fc3bf3","","","","","","","","","","","",""
"","learner","3","246818","0.0-3.0-0.0","1532728084046","10-436","13-437","51988,12330,27643","","","","[310,722,523,745]","[315,770,338,531],[314,719,532,742],[309,724,523,749]","1532728246412,1532728265717,1532728312136","[315,531],[717,740],[314,743]","1532728194175,1532728253138,1532728284243","true,true,true","true,false,true","[864,864]","true","null","",""
"","image-button-response","4","248820","0.0-3.0-2.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","5","316381","0.0-3.0-3.0","1532728084046","10-436","13-437","5777,9259,21367","","","","[598,767,89,420]","[833,862,805,861],[597,775,77,207],[612,761,91,418]","1532728336856,1532728354634,1532728381699","[605,83],[767,84],[597,425]","1532728330831,1532728345126,1532728360079","false,false,false","true,false,true","[864,864]","true","null","",""
"","image-button-response","6","318382","0.0-3.0-5.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","7","331706","0.0-4.0","1532728084046","10-436","13-437","13323","","","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","358054","0.0-5.0","1532728084046","10-436","13-437","26345","","","","","","","","","","","","","","<p align='center' style='font-size:35px;' > EL JUEGO TIENE </p> <p align='center' style='color: red; font-size:55px;' >4</p> <p align='center' style='font-size:35px;' > NIVELES</p> <p align='center' style='font-size:25px;' ><br><br><br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","358576","0.0-6.0","1532728084046","10-436","13-437","","","0","57581b99-dcf2-485c-b54a-ff0ddec50e73","","","","","","","","","","","",""
"","learner","10","484132","0.0-7.0-0.0","1532728084046","10-436","13-437","13075,16978,40693,23962","","","","[301,435,380,632]","[363,861,382,862],[362,865,380,636],[300,862,377,640],[297,442,375,639]","1532728445750,1532728475342,1532728521953,1532728549451","[368,386],[366,630],[305,502],[433,500]","1532728432425,1532728458117,1532728481013,1532728525241","true,true,true,true","true,true,true,true","[864,864]","true","null","",""
"","image-button-response","11","486134","0.0-7.0-2.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","12","623532","0.0-7.0-3.0","1532728084046","10-436","13-437","15450,36741,27907,14702","","","","[476,757,521,607]","[7,766,8,515],[5,761,5,598],[480,765,3,513],[481,767,528,606]","1532728582332,1532728626167,1532728668864,1532728688851","[771,521],[484,607],[473,519],[773,611]","1532728566633,1532728589180,1532728640707,1532728673903","false,false,false,false","true,true,true,true","[864,864]","true","null","",""
"","image-button-response","13","625535","0.0-7.0-5.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","14","721783","0.0-7.0-6.0","1532728084046","10-436","13-437","13674,8810,17108,18110,9913","","","","[369,455,500,625]","[13,848,17,846],[353,849,16,461],[352,849,18,827],[351,785,475,833],[350,449,474,617]","1532728709859,1532728725394,1532728751444,1532728773093,1532728787101","[855,9],[343,468],[792,839],[370,503],[456,624]","1532728695937,1532728716336,1532728734091,1532728754652,1532728776939","false,false,false,true,false","true,true,true,true,true","[864,864]","true","null","",""
"","image-button-response","15","723785","0.0-7.0-8.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","16","761298","0.0-7.0-9.0","1532728084046","10-436","13-437","9667,16926","","","","[160,399,413,499]","[161,850,413,860],[157,399,410,488]","1532728802597,1532728826617","[164,417],[405,495]","1532728792684,1532728809447","true,false","true,true","[864,864]","true","null","",""
"","image-button-response","17","763300","0.0-7.0-11.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","learner","18","806163","0.0-7.0-12.0","1532728084046","10-436","13-437","22327,12099","","","","[642,728,233,594]","[646,660,589,604],[662,731,245,589]","1532728854297,1532728871481","[653,596],[736,238]","1532728831718,1532728859135","false,false","false,true","[864,864]","true","null","",""
"","image-button-response","19","808164","0.0-7.0-14.0-0.0","1532728084046","10-436","13-437","null","","","","","","","","","","","","","","img/thumb_up.png","null"
"","check_point_button","20","820443","0.0-8.0","1532728084046","10-436","13-437","12276","","","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL 1 </font></p>","1"
