"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","player_id","session_id","Teachers_Box","Learners_Guess","Circles","Crosses","Consistency","canvas_size","won","key_press","stimulus","button_pressed"
"true","fullscreen","0","4076","0.0-0.0","1532113766645","8-215","7-216","","","","","","","","","","","","","",""
"","survey-text","1","18907","0.0-1.0","1532113766645","8-215","7-216","14830","{""Q0"":""7-216"",""Q1"":""8-215""}","","","","","","","","","","","",""
"","waiting-room","2","106229","0.0-2.0","1532113766645","8-215","7-216","","","0","22b5a5b9-3b35-4794-94f0-1271a249d7a7","","","","","","","","","",""
"","learner","3","720455","0.0-3.0-0.0","1532113766645","8-215","7-216","48509,72747,34175,79166,40539,78182,21565,160120","","","","[152,544,247,669]","[392,626,458,635],[400,644,513,701],[391,604,321,522],[350,541,237,564],[247,505,268,608],[235,522,312,528],[135,429,286,716],[219,523,553,769]","[388,514],[368,360],[262,378],[198,633],[500,459]","[599,313],[362,210],[588,599]","false,false,false,true,true,false,true,false","864,864","false","null","",""
"","html-button-response","4","723457","0.0-3.0-1.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","learner","5","935631","0.0-3.0-3.0","1532113766645","8-215","7-216","15652,9396,7650,39151,9299,12714,30106,11087","","","","[658,776,294,762]","[682,766,405,575],[650,798,305,565],[638,847,331,728],[480,824,345,705],[511,859,335,784],[576,855,333,749],[438,842,334,747],[659,856,340,752]","[720,496],[735,357],[709,688],[735,738],[718,583]","[725,269],[729,776],[616,366]","true,true,true,true,true,true,true,true","864,864","false","null","",""
"","html-button-response","6","938634","0.0-3.0-4.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","SE ACABARON LAS PISTAS. PASEMOS A LA SIGUIENTE CAJA.","null"
"","check_point_button","7","996242","0.0-4.0","1532113766645","8-215","7-216","57606","","","","","","","","","","","","<p><font size='25px'>ENTONCES, ¿QUÉ TENÉS QUE HACER? </font></p>","0"
"","html-button-response","8","1013913","0.0-5.0","1532113766645","8-215","7-216","17671","","","","","","","","","","","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0"
"","waiting-room","9","1017425","0.0-6.0","1532113766645","8-215","7-216","","","0","7a6a78ba-127d-451d-b909-3d57994aeeae","","","","","","","","","",""
"","learner","10","1076519","0.0-7.0-0.0","1532113766645","8-215","7-216","9448,9628,6812,8171","","","","[653,772,565,651]","[633,853,499,680],[648,812,577,680],[659,822,582,644],[678,819,560,621]","[716,605],[747,572]","[760,546],[674,666]","true,true,true,true","864,864","true","null","",""
"","html-button-response","11","1079521","0.0-7.0-2.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","12","1189730","0.0-7.0-3.0","1532113766645","8-215","7-216","8066,13026,10059,14292,17308,10963","","","","[231,729,170,602]","[601,784,139,275],[452,743,132,621],[128,788,156,640],[221,852,163,643],[214,727,168,687],[226,728,150,609]","[692,213],[584,585],[249,361]","[200,260],[749,254],[508,624]","true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","13","1192732","0.0-7.0-5.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","14","1241633","0.0-7.0-6.0","1532113766645","8-215","7-216","12420,7580,15607","","","","[565,741,330,763]","[581,846,658,847],[530,838,300,822],[570,742,318,778]","[717,748],[631,348]","[763,383]","true,true,true","864,864","true","null","",""
"","html-button-response","15","1244634","0.0-7.0-8.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","16","1392200","0.0-7.0-9.0","1532113766645","8-215","7-216","18500,9174,9373,7229,6469,25907,18678,14175","","","","[174,300,361,708]","[332,642,393,659],[355,764,366,691],[223,523,465,632],[104,358,473,784],[110,266,370,746],[47,298,375,807],[179,267,362,766],[183,302,364,714]","[233,498],[193,693],[233,389],[193,416],[284,380]","[300,342],[314,433],[160,437]","true,true,true,true,true,true,true,true","864,864","true","null","",""
"","html-button-response","17","1395203","0.0-7.0-11.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","learner","18","1522206","0.0-7.0-12.0","1532113766645","8-215","7-216","6651,8561,6725,8039,11723,37301,19988","","","","[491,606,458,544]","[486,655,400,575],[499,852,427,639],[505,709,451,646],[530,738,463,582],[549,655,460,599],[514,635,465,631],[493,628,466,540]","[560,471],[598,473],[513,531],[499,473]","[602,442],[475,497],[505,555]","true,true,true,true,true,false,true","864,864","true","null","",""
"","html-button-response","19","1525207","0.0-7.0-14.0-0.0","1532113766645","8-215","7-216","null","","","","","","","","","","","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null"
"","check_point_button","20","1533449","0.0-8.0","1532113766645","8-215","7-216","8242","","","","","","","","","","","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","1"
