"success","trial_type","trial_index","time_elapsed","internal_node_id","start_time","id_teacher","id_learner","rt","responses","stimulus","button_pressed","player_id","session_id","X_left","X_right","Y_top","Y_bottom","Circles","Crosses","Teachers_Box","Learners_Guess","canvas_size","won","key_press"
"true","fullscreen","0","3946","0.0-0.0","1532116252451","40-10","35-11","","","","","","","","","","","","","","","","",""
"","survey-text","1","15399","0.0-1.0","1532116252451","40-10","35-11","11451","{""Q0"":""40-10"",""Q1"":""35-11""}","","","","","","","","","","","","","","",""
"","my_image_button","2","48552","0.0-2.0-0.0","1532116252451","40-10","35-11","33151","","img/caja.png","0","","","","","","","","","","","","",""
"","my_image_button","3","109306","0.0-2.0-1.0","1532116252451","40-10","35-11","60753","","img/caja_con_ejemplos.png","0","","","","","","","","","","","","",""
"","my_image_button","4","121098","0.0-2.0-2.0","1532116252451","40-10","35-11","11791","","","0","","","","","","","","","","","","",""
"","waiting-room","5","121624","0.0-3.0","1532116252451","40-10","35-11","","","","","0","ddc42ec9-9449-468b-b004-648861d00d33","","","","","","","","","","",""
"","teacher","6","199990","0.0-4.0-0.0","1532116252451","40-10","35-11","6726,13163,6934,6096","","","","","","408","525","384","477","[511,400]","[515,374],[514,492],[537,429]","[408,525,384,477]","[402,759,326,551],[238,541,392,604],[472,658,386,480],[386,524,388,482]","864,864","true","null"
"","html-button-response","7","202993","0.0-4.0-2.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","8","255067","0.0-4.0-3.0","1532116252451","40-10","35-11","5092,3983,2730,3545,4815","","","","","","458","547","410","619","[467,425]","[438,428],[465,400],[559,429],[496,630]","[458,547,410,619]","[284,485,410,542],[452,631,311,440],[457,640,415,548],[453,551,409,527],[449,547,415,612]","864,864","true","null"
"","html-button-response","9","258068","0.0-4.0-5.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","10","304143","0.0-5.0","1532116252451","40-10","35-11","46074","","<p><font size='25px'>ENTONCES, ¿QUÉ TIENEN QUE HACER? </font></p>","0","","","","","","","","","","","","",""
"","html-button-response","11","307471","0.0-6.0","1532116252451","40-10","35-11","3328","","<p align='center' style='font-size:25px;' > EL JUEGO TIENE 4 NIVELES <br> ¿LISTX PARA EMPEZAR? </p>","0","","","","","","","","","","","","",""
"","waiting-room","12","308958","0.0-7.0","1532116252451","40-10","35-11","","","","","0","50c3e33a-bd22-4381-bc48-b4ae60ceb88f","","","","","","","","","","",""
"","teacher","13","348334","0.0-8.0-0.0","1532116252451","40-10","35-11","5391,2354,3425,1489","","","","","","466","591","157","454","[479,175]","[457,169],[599,179],[533,463]","[466,591,157,454]","[392,495,73,184],[468,608,170,277],[466,589,162,247],[471,589,166,433]","864,864","true","null"
"","html-button-response","14","351336","0.0-8.0-2.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","15","387573","0.0-8.0-3.0","1532116252451","40-10","35-11","3557,6273,4594","","","","","","618","704","269","722","[626,282],[631,708]","[713,285]","[618,704,269,722]","[610,826,275,349],[619,646,276,718],[620,698,274,722]","864,864","true","null"
"","html-button-response","16","390575","0.0-8.0-5.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","17","422790","0.0-8.0-6.0","1532116252451","40-10","35-11","3542,3561,3179,2866","","","","","","675","761","390","502","[682,402]","[667,401],[769,401],[717,510]","[675,761,390,502]","[153,692,395,617],[673,814,391,505],[674,761,395,450],[675,760,399,496]","864,864","true","null"
"","html-button-response","18","425757","0.0-8.0-8.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","19","461465","0.0-8.0-9.0","1532116252451","40-10","35-11","3191,3818,3011,3556","","","","","","491","578","649","735","[497,658]","[486,661],[506,643],[585,660]","[491,578,649,735]","[426,509,557,671],[493,605,576,668],[493,501,525,665],[491,576,653,709]","864,864","true","null"
"","html-button-response","20","464468","0.0-8.0-11.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","21","496366","0.0-8.0-12.0","1532116252451","40-10","35-11","4503,3636,2667","","","","","","230","740","104","554","[238,114],[731,116]","[735,566]","[230,740,104,554]","[228,293,32,125],[228,743,108,124],[228,744,111,551]","864,864","true","null"
"","html-button-response","22","499369","0.0-8.0-14.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","23","503273","0.0-9.0","1532116252451","40-10","35-11","3903","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","0","","","","","","","","","","","","",""
"","waiting-room","24","503837","0.0-10.0","1532116252451","40-10","35-11","","","","","0","893bbc46-e3ce-44b3-b19d-3f9c2fc3e896","","","","","","","","","","",""
"","teacher","25","529887","0.0-11.0-0.0","1532116252451","40-10","35-11","3123,3226,1410","","","","","","652","738","268","451","[661,279]","[746,279],[733,462]","[652,738,268,451]","[651,843,269,411],[655,738,119,291],[652,737,271,450]","864,864","true","null"
"","html-button-response","26","532888","0.0-11.0-2.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","27","554268","0.0-11.0-3.0","1532116252451","40-10","35-11","2554,3157,2452","","","","","","301","387","358","544","[310,369]","[396,367],[382,554]","[301,387,358,544]","[301,518,361,432],[295,389,361,460],[302,389,364,548]","864,864","true","null"
"","html-button-response","28","557271","0.0-11.0-5.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","29","577685","0.0-11.0-6.0","1532116252451","40-10","35-11","2577,3596,2164","","","","","","471","763","323","768","[482,335]","[771,335],[759,778]","[471,763,323,768]","[473,585,327,446],[471,762,325,438],[475,759,327,771]","864,864","true","null"
"","html-button-response","30","580686","0.0-11.0-8.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","31","614932","0.0-11.0-9.0","1532116252451","40-10","35-11","2840,2972,4452,2595","","","","","","253","734","199","691","[266,213],[724,215]","[239,210],[725,705]","[253,734,199,691]","[129,276,101,221],[246,275,132,220],[251,733,204,244],[256,737,206,696]","864,864","true","null"
"","html-button-response","32","617933","0.0-11.0-11.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","33","634435","0.0-11.0-12.0","1532116252451","40-10","35-11","2064,3172","","","","","","214","300","525","611","[222,535]","[308,537]","[214,300,525,611]","[212,431,529,670],[212,302,529,655]","864,864","true","null"
"","html-button-response","34","637437","0.0-11.0-14.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","35","642655","0.0-12.0","1532116252451","40-10","35-11","5216","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","0","","","","","","","","","","","","",""
"","waiting-room","36","643194","0.0-13.0","1532116252451","40-10","35-11","","","","","0","03637658-5258-43d0-9a3f-3430bf767ae8","","","","","","","","","","",""
"","teacher","37","671200","0.0-14.0-0.0","1532116252451","40-10","35-11","2723,4581,2404,2587","","","","","","611","697","338","464","[619,348]","[602,350],[705,349],[692,472]","[611,697,338,464]","[414,629,343,538],[610,773,342,517],[610,700,344,609],[615,700,339,461]","864,864","true","null"
"","html-button-response","38","674203","0.0-14.0-2.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","39","708633","0.0-14.0-3.0","1532116252451","40-10","35-11","2841,2740,5413,3275","","","","","","641","776","330","416","[648,338],[769,410]","[630,340],[651,322]","[641,776,330,416]","[556,656,69,348],[639,814,152,349],[641,812,335,526],[641,778,331,421]","864,864","true","null"
"","html-button-response","40","711635","0.0-14.0-5.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","41","740814","0.0-14.0-6.0","1532116252451","40-10","35-11","2697,6146,2398","","","","","","201","529","456","631","[213,467]","[537,471],[521,643]","[201,529,456,631]","[205,439,291,476],[206,527,293,481],[203,529,461,634]","864,864","true","null"
"","html-button-response","42","743816","0.0-14.0-8.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","43","776838","0.0-14.0-9.0","1532116252451","40-10","35-11","2923,3295,4501,2069","","","","","","290","376","106","391","[299,118]","[283,119],[382,117],[370,404]","[290,376,106,391]","[89,309,29,130],[291,461,21,129],[291,372,109,307],[287,372,109,393]","864,864","true","null"
"","html-button-response","44","779839","0.0-14.0-11.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","45","802127","0.0-14.0-12.0","1532116252451","40-10","35-11","2684,4430,2406","","","","","","158","611","399","485","[167,409]","[619,408],[601,495]","[158,611,399,485]","[161,343,403,550],[158,610,396,554],[153,611,400,486]","864,864","true","null"
"","html-button-response","46","805129","0.0-14.0-14.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","47","816458","0.0-15.0","1532116252451","40-10","35-11","11329","","<p><font size='25'>¡FELICITACIONES! <br><br> TERMINARON EL NIVEL </font></p>","0","","","","","","","","","","","","",""
"","waiting-room","48","816984","0.0-16.0","1532116252451","40-10","35-11","","","","","0","4ce91bc8-cd54-42da-a863-ae5e1470ddb9","","","","","","","","","","",""
"","teacher","49","834540","0.0-17.0-0.0","1532116252451","40-10","35-11","2433,2518,2921","","","","","","561","653","420","512","[569,431]","[554,432],[659,429]","[561,653,420,512]","[404,577,314,442],[563,791,427,523],[560,652,426,508]","864,864","true","null"
"","html-button-response","50","837542","0.0-17.0-2.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","51","855504","0.0-17.0-3.0","1532116252451","40-10","35-11","2876,2935,1604","","","","","","107","655","340","678","[117,355]","[663,354],[645,688]","[107,655,340,678]","[109,264,350,466],[107,648,348,474],[111,651,343,676]","864,864","true","null"
"","html-button-response","52","858498","0.0-17.0-5.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","53","878019","0.0-17.0-6.0","1532116252451","40-10","35-11","2238,3313,3925","","","","","","347","765","544","725","[358,554]","[337,557],[772,555]","[347,765,544,725]","[52,375,545,758],[349,679,550,773],[348,765,546,750]","864,864","true","null"
"","html-button-response","54","881021","0.0-17.0-8.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","55","913981","0.0-17.0-9.0","1532116252451","40-10","35-11","267,3598,3734,2895","","","","","","281","662","670","756","[289,679]","[388,473],[292,662],[668,677]","[281,662,670,756]","[408,805,464,665],[276,392,489,689],[281,515,672,792],[282,654,673,790]","864,864","true","null"
"","html-button-response","56","916982","0.0-17.0-11.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","teacher","57","933089","0.0-17.0-12.0","1532116252451","40-10","35-11","1904,2526,1198","","","","","","675","761","364","514","[681,373]","[767,370],[726,522]","[675,761,364,514]","[662,807,362,644],[672,758,363,466],[677,757,363,514]","864,864","true","null"
"","html-button-response","58","936091","0.0-17.0-14.0-0.0","1532116252451","40-10","35-11","null","","¡ENCONTRARON LA CAJA! PASEMOS A LA SIGUIENTE","null","","","","","","","","","","","","",""
"","check_point_button","59","954912","0.0-18.0","1532116252451","40-10","35-11","18819","","<p align='center' style='font-size:30px;' > COMPLETARON TODOS LOS NIVELES  <br><br> ¡FELICITACIONES!<br><br> PRESIONA CUALQUIER TECLA PARA TERMINAR</p>","0","","","","","","","","","","","","",""
